z(redshift),mu (distance modulus),,
0.282392,40.52,,
0.159729,38.98,,
0.310991,40.69,,
0.375724,41.5,,
0.313153,40.98,,
0.335098,41.11,,
0.119078,38.43,,
0.396301,41.54,,
0.186515,39.44,,
0.107356,38.25,,
0.282787,40.85,,
0.238217,40.13,,
0.399335,41.78,,
0.180119,39.64,,
0.31643,40.3,,
0.275679,40.5,,
0.287998,41.1,,
0.292421,40.84,,
0.399981,41.51,,
0.345377,41.17,,
0.396513,41.61,,
0.280828,40.34,,
0.281988,40.98,,
0.244616,39.98,,
0.221151,39.89,,
0.309946,40.74,,
0.217547,39.92,,
0.401058,41.75,,
0.209989,39.72,,
0.304341,40.32,,
0.300106,40.49,,
0.509847,42.49,,
0.277296,40.81,,
0.393346,41.78,,
0.319595,40.57,,
0.30637,40.76,,
0.225601,40.17,,
0.340292,41.33,,
0.23934,40.8,,
0.367298,41.65,,
0.265638,40.81,,
0.359161,41.35,,
0.376242,40.72,,
0.384021,41.34,,
0.390602,41.57,,
0.185192,39.76,,
0.078816,38.02,,
0.156466,39.21,,
0.178393,39.47,,
0.182841,39.47,,
0.257172,40.27,,
0.2174,39.97,,
0.30272,40.99,,
0.167636,39.21,,
0.278103,40.31,,
0.265158,40.76,,
0.25997,40.66,,
0.253291,40.54,,
0.274636,40.72,,
0.303225,41.31,,
0.182906,39.35,,
0.288027,40.94,,
0.037069,36.08,,
0.288955,40.79,,
0.353462,41.06,,
0.238926,40.35,,
0.288815,40.61,,
0.233889,40.41,,
0.14191,39.31,,
0.329549,41.21,,
0.264127,40.59,,
0.349582,41.31,,
0.378414,41.56,,
0.283961,40.65,,
0.2886,41,,
0.289396,40.39,,
0.371136,41.39,,
0.429563,41.76,,
0.377082,41.89,,
0.285824,40.39,,
0.293032,40.74,,
0.339192,40.96,,
0.319944,41.32,,
0.316181,40.97,,
0.28462,40.61,,
0.299249,40.38,,
0.331565,40.97,,
0.258847,40.27,,
0.266984,40.44,,
0.258663,40.57,,
0.253975,40.14,,
0.34593,41.41,,
0.236261,40.1,,
0.308529,41.13,,
0.319838,41.02,,
0.110509,38.19,,
0.130767,38.71,,
0.389724,41.45,,
0.219935,39.84,,
0.268221,40.67,,
0.362207,41.05,,
0.251315,40.94,,
0.13834,39.09,,
0.176261,39.6,,
0.338532,41.07,,
0.114892,38.37,,
0.327322,41.06,,
0.35946,41.41,,
0.212697,40.08,,
0.113713,38.73,,
0.296834,41.11,,
0.107623,38.36,,
0.154411,39.12,,
0.311984,41.12,,
0.495531,41.97,,
0.190638,39.56,,
0.190228,40.08,,
0.306192,40.94,,
0.365307,41.28,,
0.198426,39.72,,
0.299006,41.25,,
0.123186,38.7,,
0.300084,41.05,,
0.127832,38.83,,
0.22791,40.44,,
0.212362,39.85,,
