,Name,log(Mb),e_log(Mb),Inc,e_Inc,Vf,e_Vf,V2exp,e_V2exp,V2eff,e_V2eff,Vmax,e_Vmax,Wp20,e_Wp20,Wm50,e_Wm50,Wm50c,e_Wm50c
13,F565-V2,9.08,0.18,60,10,0,0,66.3,9.7,76.9,9.2,83.1,10.3,149,21.9,142,21.5,0,0
14,F568-3,9.93,0.11,40,10,0,0,99.1,21.5,111.8,25.6,120,27.7,275.4,59.5,266,57.6,0,0
15,F568-V1,9.72,0.1,40,10,112.3,28.9,112.8,34.2,111.3,35.1,118,28.6,320.5,68.6,284.7,61.3,0,0
16,F571-8,9.87,0.19,85,5,139.7,5.8,127.2,4.1,76,4,144,5.1,313.2,16.2,312.2,16.2,0,0
17,F571-V1,9.41,0.1,30,10,83.6,26,68.2,21.8,79.8,24.9,84.3,26.2,168,53.2,166,52.7,0,0
18,F574-1,9.9,0.1,65,10,97.8,9.3,97.7,9.1,99.5,9.2,99.7,9.6,265.9,26.9,247.2,25.7,0,0
19,F583-1,9.52,0.22,63,5,85.8,7.9,69.8,4.3,78.7,13.9,86.9,6.8,205.4,18.4,198.7,18.3,0,0
20,F583-4,9.23,0.19,55,10,0,0,56.7,8.5,66.7,9.5,69.9,9.8,173.3,26.5,163.6,25.6,0,0
21,IC2574,9.28,0.06,75,7,66.4,6,47.6,1.8,50,1.9,67.5,9.6,135.6,8.3,0,0,0,0
22,IC4202,11.03,0.13,90,1,242.6,11.2,239.4,7,246,6.3,250,5.6,558,3,554,3,0,0
23,KK98-251,8.29,0.26,59,5,33.7,2.7,34.4,2.7,33.7,2.7,34.6,2.7,0,0,0,0,0,0
24,NGC0024,9.45,0.09,64,3,106.3,8.5,106.9,11.5,106.1,11.5,110,4,248.1,8.1,240.3,16.2,235.3,16.2
25,NGC0055,9.64,0.08,77,3,85.6,5.4,86.6,5.6,82.2,2.5,87.4,2.7,208.3,7.4,185.8,13.2,178.6,13.2
26,NGC0100,9.63,0.27,89,1,88.1,8.7,70.5,4,78.6,5.6,91.2,13.7,229,5,215,10,213,10
27,NGC0247,9.78,0.08,74,3,104.9,9.1,91.4,5,104.8,9,108,7.9,228.9,6.1,0,0,0,0
28,NGC0289,10.86,0.22,46,5,163,17.8,178.5,15.6,175.5,31.6,194,35.9,419.8,35.9,400.4,36.2,389.2,35.3
29,NGC0300,9.43,0.08,42,10,93.3,20.1,83.1,16.8,79.9,16.2,97,19.6,248.1,48.6,231.6,48.8,221.2,46.9
30,NGC0801,11.27,0.13,80,1,220.1,7,223.9,6.9,226.2,6.9,238,6.2,505.7,3.4,488.4,16.1,475.2,16.1
